Date,Price
2021-06-26,15572
2021-06-27,15432
2021-06-28,16759
2021-06-29,17768
2021-06-30,18490
2021-07-01,19489
2021-07-02,18207
2021-07-03,18422
2021-07-04,19037
2021-07-05,19911
2021-07-06,18957
2021-07-07,19950
2021-07-08,19982
2021-07-09,18281
2021-07-10,18477
2021-07-11,18360
2021-07-12,18406
2021-07-13,17535
2021-07-14,16832
2021-07-15,17222
2021-07-16,16558
2021-07-17,16274
2021-07-18,16491
2021-07-19,16541
2021-07-20,15867
2021-07-21,15616
2021-07-22,17410
2021-07-23,17597
2021-07-24,18397
2021-07-25,18977
2021-07-26,19208
2021-07-27,19239
2021-07-28,19774
2021-07-29,19763
2021-07-30,20385
2021-07-31,21164
2021-08-01,21845
2021-08-02,21977
2021-08-03,22444
2021-08-04,21690
2021-08-05,23459
2021-08-06,24306
2021-08-07,25051
2021-08-08,27321
2021-08-09,26149
2021-08-10,27542
2021-08-11,27450
2021-08-12,27494
2021-08-13,26478
2021-08-14,28711
2021-08-15,28239
2021-08-16,28599
2021-08-17,27279
2021-08-18,26349
2021-08-19,26531
2021-08-20,27691
2021-08-21,28846
2021-08-22,28405
2021-08-23,28570
2021-08-24,28935
2021-08-25,27614
2021-08-26,28072
2021-08-27,27179
2021-08-28,28223
2021-08-29,28032
2021-08-30,27927
2021-08-31,27888
2021-09-01,29661
2021-09-02,32656
2021-09-03,32520
2021-09-04,33636
2021-09-05,33284
2021-09-06,33763
2021-09-07,33748
2021-09-08,29560
2021-09-09,30171
2021-09-10,29589
2021-09-11,27717
2021-09-12,28219
2021-09-13,29514
2021-09-14,28408
2021-09-15,29494
2021-09-16,30863
2021-09-17,30805
2021-09-18,29632
2021-09-19,29766
2021-09-20,28947
2021-09-21,25825
2021-09-22,23853
2021-09-23,26733
2021-09-24,27269
2021-09-25,25354
2021-09-26,25495
2021-09-27,26468
2021-09-28,25597
2021-09-29,24444
2021-09-30,25130
2021-10-01,26414
2021-10-02,28915
2021-10-03,29692
2021-10-04,29939
2021-10-05,29591
2021-10-06,30772
2021-10-07,31626
2021-10-08,31570
2021-10-09,31083
